id,gid,x,y,v_x,v_y,radius,time
34,1,5.138552,4.886600,0.133128,-1.125729,0.200000,1.900000
35,1,8.835436,1.821810,-0.280091,-1.357409,0.200000,1.900000
36,1,6.152112,2.664945,-0.027617,-1.014050,0.200000,1.900000
37,1,8.252393,1.988312,-0.228244,-1.267813,0.200000,1.900000
38,1,8.791253,2.991645,-0.249784,-1.070233,0.200000,1.900000
39,1,6.819255,6.974074,0.016463,-1.253370,0.200000,1.900000
0,0,8.491328,0.024075,-1.010007,-0.221573,0.200000,1.950000
1,0,10.756097,0.286192,-1.125280,-0.231047,0.200000,1.950000
2,0,5.686393,-0.423383,-1.278038,-0.419173,0.200000,1.950000
3,0,4.900562,-1.072013,-1.358949,0.027362,0.200000,1.950000
4,0,7.554415,0.437899,-0.954220,-0.160238,0.200000,1.950000
5,0,3.586981,0.124331,-1.293933,-0.064193,0.200000,1.950000
6,0,11.865146,-1.152894,-1.117710,-0.122959,0.200000,1.950000
7,0,9.130257,-0.421585,-1.083625,-0.201999,0.200000,1.950000
8,0,11.452155,-0.633517,-1.156361,-0.153115,0.200000,1.950000
9,0,6.369891,-0.574002,-1.080869,-0.270166,0.200000,1.950000
10,0,5.771272,0.145181,-0.821531,-0.432064,0.200000,1.950000
11,0,12.821299,-0.616177,-1.251439,0.053786,0.200000,1.950000
12,0,11.610193,0.525608,-1.074498,-0.027241,0.200000,1.950000
13,0,6.931391,-0.206470,-1.087688,-0.279527,0.200000,1.950000
14,0,5.095335,-0.558642,-0.929603,-0.191259,0.200000,1.950000
15,0,11.667179,0.972643,-1.276630,-0.049026,0.200000,1.950000
16,0,4.567887,-0.150190,-1.360758,-0.483487,0.200000,1.950000
17,0,5.269237,0.554711,-0.896996,-0.220572,0.200000,1.950000
18,0,7.770329,-0.748776,-1.111529,-0.254204,0.200000,1.950000
19,0,5.655571,-1.209986,-1.056750,-0.288067,0.200000,1.950000
20,1,6.914430,5.809770,-0.253385,-1.221304,0.200000,1.950000
21,1,7.929473,-6.074565,-0.264391,-1.166373,0.200000,1.950000
22,1,6.605890,0.931951,-0.282223,-0.987823,0.200000,1.950000
23,1,8.522423,-4.952806,-0.369256,-1.224171,0.200000,1.950000
24,1,5.417617,3.671475,0.024365,-1.177690,0.200000,1.950000
25,1,8.070851,-3.958710,-0.223169,-1.259024,0.200000,1.950000
26,1,6.814482,4.660785,-0.025704,-1.213222,0.200000,1.950000
27,1,4.429993,0.515241,-0.727216,-0.280533,0.200000,1.950000
28,1,4.529511,1.831959,-0.306491,-0.400569,0.200000,1.950000
29,1,4.132927,-1.002719,0.140860,-1.256670,0.200000,1.950000
30,1,7.438287,1.816388,-0.129931,-0.994466,0.200000,1.950000
31,1,7.168721,-6.330200,-0.089663,-1.355240,0.200000,1.950000
32,1,5.285090,1.245631,-0.112260,-0.527289,0.200000,1.950000
33,1,7.800306,3.596692,-0.127163,-1.112162,0.200000,1.950000
34,1,5.145350,4.829492,0.135945,-1.142152,0.200000,1.950000
35,1,8.821835,1.754304,-0.272027,-1.350129,0.200000,1.950000
36,1,6.151304,2.612827,-0.016172,-1.042355,0.200000,1.950000
37,1,8.241447,1.924795,-0.218926,-1.270328,0.200000,1.950000
38,1,8.779125,2.937045,-0.242562,-1.091991,0.200000,1.950000
39,1,6.820065,6.911173,0.016201,-1.258026,0.200000,1.950000
0,0,8.441425,0.012813,-0.998079,-0.225245,0.200000,2.000000
1,0,10.698326,0.274540,-1.155422,-0.233034,0.200000,2.000000
2,0,5.647351,-0.441707,-0.780822,-0.366481,0.200000,2.000000
3,0,4.841500,-1.075653,-1.181236,-0.072805,0.200000,2.000000
4,0,7.511119,0.429250,-0.865927,-0.172991,0.200000,2.000000
5,0,3.522255,0.121348,-1.294526,-0.059656,0.200000,2.000000
6,0,11.808697,-1.157906,-1.128970,-0.100241,0.200000,2.000000
7,0,9.075566,-0.432924,-1.093829,-0.226793,0.200000,2.000000
8,0,11.394167,-0.639825,-1.159770,-0.126162,0.200000,2.000000
9,0,6.315931,-0.591899,-1.079214,-0.357953,0.200000,2.000000
10,0,5.722544,0.130770,-0.974559,-0.288231,0.200000,2.000000
11,0,12.758488,-0.613532,-1.256217,0.052899,0.200000,2.000000
12,0,11.555344,0.524176,-1.096983,-0.028629,0.200000,2.000000
13,0,6.879402,-0.218140,-1.039784,-0.233396,0.200000,2.000000
14,0,5.023859,-0.567752,-1.429521,-0.182201,0.200000,2.000000
15,0,11.604433,0.971021,-1.254926,-0.032440,0.200000,2.000000
16,0,4.491600,-0.166273,-1.525729,-0.321672,0.200000,2.000000
17,0,5.225238,0.546282,-0.879971,-0.168568,0.200000,2.000000
18,0,7.714455,-0.759682,-1.117478,-0.218124,0.200000,2.000000
19,0,5.601559,-1.222216,-1.080245,-0.244593,0.200000,2.000000
20,1,6.900658,5.747456,-0.275434,-1.246277,0.200000,2.000000
21,1,7.916077,-6.133377,-0.267906,-1.176237,0.200000,2.000000
22,1,6.593424,0.881003,-0.249317,-1.018957,0.200000,2.000000
23,1,8.503929,-5.014117,-0.369873,-1.226215,0.200000,2.000000
24,1,5.419461,3.612022,0.036875,-1.189059,0.200000,2.000000
25,1,8.059674,-4.021766,-0.223541,-1.261126,0.200000,2.000000
26,1,6.813408,4.599690,-0.021489,-1.221889,0.200000,2.000000
27,1,4.395955,0.494455,-0.680766,-0.415721,0.200000,2.000000
